2	0	1448	594
3	8519	53	31
4	8890	6651	806
5	41621	2226	590
6	53653	1131	586
7	60377	2475	1028
8	74843	917	427
9	80454	1464	602
10	88616	570	395
11	91741	5	2
12	91773	6999	2584
13	130017	9255	1363
14	178966	806	219
15	183440	31916	797
16	317273	8377	920
17	359939	4738	1290
18	386538	1128	395
19	392962	5596	1008
20	422178	713	285
21	426485	126	89
22	427302	2	1
23	427316	212	122
24	428575	2364	505
25	440178	273	94
26	441765	275	165
27	443443	27420	605
28	562577	15144	1405
29	640445	2648	960
30	655749	2855	486
31	670969	5477	1591
32	700357	38595	2259
33	880630	19863	2080
34	982559	14142	1965
35	1057415	11779	1862
36	1120127	2715	933
37	1136318	25	22
38	1136507	752	324
39	1141044	5130	696
40	1168045	3219	747
41	1186298	66	51
42	1186765	162	97
43	1187785	4257	1234
44	1212222	3252	644
45	1230391	80	32
46	1230913	210	83
47	1232311	456	197
48	1235166	10	4
49	1235232	83	60
50	1235778	2014	453
51	1246771	158	34
52	1247684	1827	539
53	1257846	1041	207
54	1263445	484	157
55	1266443	1302	312
56	1273766	313	208
57	1275870	2377	493
58	1288654	1133	463
59	1295429	118	89
60	1296231	326	165
61	1298191	656	226
62	1301638	4422	694
63	1325887	1189	488
64	1333220	3454	1185
65	1353676	22887	2544
66	1470862	439	189
67	1473662	3514	1120
68	1493857	4511	1354
69	1520091	3174	1254
70	1538919	128	83
71	1539758	18	18
72	1539891	2203	514
73	1551834	171	49
74	1552974	16	14
75	1553086	724	339
76	1557420	2611	576
77	1572122	171	71
78	1573205	5927	1271
79	1605853	595	248
80	1609662	1690	517
81	1619630	273	138
82	1621467	138	85
83	1622403	484	163
84	1625176	438	229
85	1627910	736	246
86	1632234	1	1
87	1632244	13	13
88	1632355	1081	252
89	1637713	565	270
90	1641213	308	195
91	1643190	63	39
92	1643602	4	1
93	1643628	7	5
94	1643685	667	233
95	1647574	1094	258
96	1653153	11029	1214
97	1705987	10227	533
98	1754457	14245	497
99	1816309	1057	368
100	1822496	1081	477
101	1829046	47	33
102	1829387	245	65
103	1830752	2311	385
104	1842155	790	151
105	1846096	372	238
106	1848484	2500	784
107	1862931	447	118
108	1865496	7	6
109	1865558	4	2
110	1865589	3086	616
111	1882012	1144	438
112	1888262	7	7
113	1888321	1	1
114	1888332	1	1
115	1888343	1	1
116	1888354	1	1
117	1888365	1	1
118	1888376	33	14
119	1888587	91	51
120	1889179	1	1
121	1889190	1	1
122	1889201	2212	873
123	1902213	632	147
124	1905590	91	31
125	1906175	39	32
126	1906462	161	96
127	1907464	504	268
128	1910780	946	363
129	1916241	117	47
130	1916955	262	126
131	1918605	2649	458
132	1931621	141	79
133	1932513	143	37
134	1933277	238	77
135	1934805	48237	3070
136	2183878	836	284
137	2188718	220	154
138	2190241	2	2
139	2190261	4366	555
140	2212322	9763	1629
141	2263707	100	74
142	2264417	10475	904
143	2313577	31	24
144	2313803	14115	1528
145	2381565	1156	223
146	2387348	1233	173
147	2393719	673	86
148	2397474	595	253
149	2401043	16	5
150	2401138	3704	319
151	2419174	37	32
152	2419448	262	135
153	2421097	924	187
154	2425841	381	177
155	2428153	4165	993
156	2452096	1	1
157	2452107	2006	912
158	2464350	10544	2079
159	2523234	860	259
160	2528238	192	105
161	2529480	4203	1514
162	2553677	263	139
163	2555474	209	82
164	2556627	9	3
165	2556689	36	27
166	2556945	78	66
167	2557479	4322	1079
168	2580676	1233	617
169	2588453	304	51
170	2590121	248	132
171	2591790	1171	340
172	2598325	69	38
173	2598774	1289	545
174	2606266	15	10
175	2606376	172	108
176	2607528	231	69
177	2609050	9	7
178	2609124	1499	602
179	2618360	3989	835
180	2639295	1	1
181	2639306	1588	619
182	2648596	415	186
183	2651257	738	267
184	2655756	9046	1392
185	2703853	1599	429
186	2712380	435	167
187	2714995	3467	671
188	2733513	163	47
189	2734613	8157	934
190	2773222	887	379
191	2778716	5	5
192	2778762	17	14
193	2778902	269	103
194	2780646	281751	689
195	3913846	1475	259
196	3921515	3606	293
197	3938902	534	186
198	3942172	46	27
199	3942495	38	27
200	3942763	129	76
201	3943621	4589	761
202	3967235	627	243
203	3970990	10	9
204	3971077	805	293
205	3975879	1505	583
206	3984700	135	33
207	3985484	611	214
208	3988983	18121	687
209	4067156	251	81
210	4068804	306	74
211	4070778	6891	889
212	4107472	14	8
213	4107579	222	156
214	4109078	137	83
215	4109982	152	110
216	4111064	10	6
217	4111136	78	57
218	4111686	1315	281
219	4118855	1034	360
220	4124766	256	85
221	4126445	44	31
222	4126790	474	205
223	4129688	916	237
224	4134695	2671	937
225	4150640	116	51
226	4151345	1470	398
227	4159660	1837	609
228	4169633	3	3
229	4169663	1659	677
230	4179485	1457	752
231	4188192	355	23
232	4189730	62	36
233	4190165	244	141
234	4191760	2317	341
235	4202186	1102	279
236	4208476	1042	233
237	4213665	473	243
238	4216598	541	254
239	4219994	800	274
240	4224836	942	458
241	4230447	507	151
242	4233580	70	40
243	4234105	116	44
244	4234893	30	22
245	4235115	3056	704
246	4251751	440	245
247	4254540	251	117
248	4256164	4	2
249	4256196	197	104
250	4257518	1	1
251	4257529	420	203
252	4260274	1	1
253	4260285	2714	829
254	4276170	7	7
255	4276232	2816	1007
256	4292800	13	6
257	4292889	8155	632
258	4333280	309	209
259	4335332	316	142
260	4337273	258	103
261	4338830	1	1
262	4338841	1	1
263	4338852	54	39
264	4339233	27	18
265	4339430	2799	907
266	4355731	2491	886
267	4369806	58	45
268	4370229	48	8
269	4370481	760	326
270	4375023	118	71
271	4375815	28	23
272	4376025	1	1
273	4376036	109	47
274	4376719	309	201
275	4378761	562	281
276	4382429	899	540
277	4388143	97	38
278	4388758	11	10
279	4388852	1040	461
280	4395144	888	202
281	4400010	18	11
282	4400138	152	39
283	4401053	2033	801
284	4413173	540	152
285	4416243	1881	726
286	4427269	580	171
287	4430734	2141	610
288	4441829	115	93
289	4442614	6361	1073
290	4477264	9	7
291	4477337	962	164
292	4482176	1810	746
293	4493466	980	322
294	4499432	6518	1770
295	4537322	2909	608
296	4553328	465	112
297	4556037	755	243
298	4559975	679	193
299	4563668	1051	266
300	4569570	154	92
301	4570582	545	278
302	4573939	94	73
303	4574573	1152	456
304	4581100	75	71
305	4581680	1	1
306	4581691	215	81
307	4583017	101	40
308	4583717	47	25
309	4584024	8	4
310	4584084	453	189
311	4586921	3	3
312	4586949	62	31
313	4587383	2	2
314	4587402	281	132
315	4589258	186	87
316	4590349	6	6
317	4590404	12171	2017
318	4656664	88	78
319	4657276	1	1
320	4657287	2071	899
321	4669647	315	162
322	4671762	163	85
323	4672733	13	10
324	4672832	1955	711
325	4684285	1172	350
326	4691126	261	128
327	4692894	8389	1439
328	4736804	23	21
329	4736985	5916	1111
330	4767518	68	46
331	4768023	47	35
332	4768359	252	92
333	4769999	4	4
334	4770031	1216	437
335	4777172	275	133
336	4778995	5	4
337	4779036	760	358
338	4783648	64	22
339	4784035	2273	583
340	4796294	2	2
341	4796315	69	58
342	4796792	152	105
343	4797845	340	150
344	4799969	56	21
345	4800329	310	143
346	4802398	1	1
347	4802409	40	25
348	4802689	250	150
349	4804202	49	19
350	4804531	3745	1363
351	4826180	184	123
352	4827365	3091	347
353	4842914	6	6
354	4842968	299	124
355	4844908	4	4
356	4844947	5	3
357	4844990	1237	361
358	4852072	11101	1766
359	4911440	2449	279
360	4923919	4983	1239
361	4952047	3	3
362	4952075	59	40
363	4952513	41	27
364	4952803	1600	554
365	4962153	1914	606
366	4973168	1	1
367	4973179	618	116
368	4976668	1	1
369	4976679	1940	544
370	4988065	105	32
371	4988658	1261	347
372	4996221	403	223
373	4998889	88	53
374	4999497	130	93
375	5000359	68	43
376	5000828	970	373
377	5006869	83	79
378	5007516	408	209
379	5010017	1117	319
380	5016436	1014	345
381	5022365	1579	188
382	5030601	408	197
383	5033179	551	346
384	5036733	1	1
385	5036744	971	392
386	5042630	75	50
387	5043157	1790	605
388	5053311	470	308
389	5056329	5	4
390	5056371	1325	743
391	5064428	41	28
392	5064726	38	23
393	5064990	14	13
394	5065106	9	7
395	5065178	836	145
396	5069679	1	1
397	5069690	2	2
398	5069710	1939	773
399	5081569	11	11
400	5081657	510	284
401	5084868	57	41
402	5085270	14	12
403	5085382	7	3
404	5085431	2	2
405	5085452	26	20
406	5085657	84	54
407	5086232	1	1
408	5086243	1468	479
409	5094555	162	83
410	5095585	992	287
411	5100916	341	63
412	5102759	33	21
413	5102990	379	261
414	5105503	260	136
415	5107032	738	381
416	5111509	290	134
417	5113323	7689	956
418	5152215	2272	563
419	5164868	236	66
420	5166392	1515	249
421	5174217	9	8
422	5174295	1789	797
423	5185211	11	6
424	5185290	28	20
425	5185501	1679	738
426	5195557	547	157
427	5198932	558	171
428	5201987	44	31
429	5202322	9	2
430	5202383	2200	789
431	5215505	5043	2050
432	5245471	8055	1207
433	5288759	2	2
434	5288781	83	57
435	5289363	522	204
436	5292618	989	349
437	5298434	9228	822
438	5345732	1578	499
439	5354024	2498	889
440	5368673	38	33
441	5368956	412	90
442	5371231	7978	1712
443	5415852	69	42
444	5416355	62	38
445	5416786	3604	964
446	5437245	1337	478
447	5445139	921	290
448	5450173	22	21
449	5450350	25	21
450	5450545	1707	491
451	5460190	138	45
452	5461012	16	5
453	5461105	1	1
454	5461116	540	285
455	5464546	1	1
456	5464557	798	443
457	5469622	147	59
458	5470602	257	132
459	5472347	1	1
460	5472358	26	11
461	5472514	454	252
462	5475411	45	16
463	5475702	11334	1737
464	5537885	426	254
465	5540594	585	335
466	5544414	479	245
467	5547474	2511	781
468	5561930	2	2
469	5561951	68	51
470	5562437	4856	148
471	5583450	358	178
472	5585815	3483	439
473	5603548	146	66
474	5604461	159	97
475	5605491	1174	550
476	5612662	8	8
477	5612731	3	2
478	5612756	2022	756
479	5625195	1627	598
